Tag,Spec,Sex,xcoord,ycoord,xcoordJ,ycoordJ,maxdAug,dAugJan,AugSVL,JanSVL,month,group
O22,SA,F,-7.314406073,44.6979509,-9.49,45.38,,2.27999998,39.124,42,Jan,sa_f_jan
O26,SA,F,-10.81311813,52.67579472,-9.689561045,53.85945169,,1.632000106,41.126,42,Jan,sa_f_jan
O27,SA,F,-18.25843375,58.70478458,-4.685832917,55.70722372,,13.89967138,33.633,38,Jan,sa_f_jan
O40,SA,F,-7.639026277,47.06414611,-9.49,45.38,2.099742158,2.502489129,39.511,39,Jan,sa_f_jan
O56,SA,F,18.18389638,6.896825499,19.46117121,6.450522262,,1.353003167,40.413,43,Jan,sa_f_jan
O62,SA,F,-6.875846503,-9.997470511,-5.560936388,-10.36013659,,1.364007073,38.068,40,Jan,sa_f_jan
O68,SA,F,-12.66654983,-11.08308249,-11.50041351,-14.62144014,,3.725566907,40.294,40,Jan,sa_f_jan
O70,SA,F,-11.48795998,-9.851456489,-11.50041351,-14.62144014,,4.769999908,42.644,42,Jan,sa_f_jan
O73,SA,F,-8.701620862,-19.39650222,-11.50041351,-14.62144014,1.387334338,5.534840391,40.791,39,Jan,sa_f_jan
O76,SA,F,-10.16156047,-23.3712807,-7.020863526,-21.50764784,,3.6520001,38.176,38,Jan,sa_f_jan
O78,SA,F,-3.793083137,5.475956923,-4.537459658,6.722801933,,1.452142859,38.408,42,Jan,sa_f_jan
O80,SA,F,-1.682523525,2.474108905,0,5.937,,3.850000019,37.653,40,Jan,sa_f_jan
O99,SA,F,-6.658514132,15.09309547,-13.852894,15.74547013,,7.223897451,43.561,45,Jan,sa_f_jan
P05,SA,F,-8.956346484,-16.3960953,-11.50041351,-14.62144014,1.396179985,3.101882972,41.703,43,Jan,sa_f_jan
P09,SA,F,-2.809857641,-12.81032466,-3.027248344,-15.445955,,2.644580497,43.783,46,Jan,sa_f_jan
P40,SA,F,2.4990572,-6.245021923,2.947683311,-6.949364492,5.417348107,0.835083135,41.071,41,Jan,sa_f_jan
P41,SA,F,1.473841656,-3.474682246,2.947683311,-6.949364492,7.548675629,3.774337814,35.564,,Jan,sa_f_jan
P48,SA,F,10.51419082,37.07587561,13.48448549,42.81329927,,6.460702801,41.711,43,Jan,sa_f_jan
P49,SA,F,-1.230726725,51.33324188,-3.031805175,51.06668563,,1.82069652,37.952,40,Jan,sa_f_jan
P62,SA,F,-8.725450657,17.58688007,-15.46790807,23.80244295,12.02912364,9.170275562,41.636,41,Jan,sa_f_jan
P66,SA,F,-3.288994347,12.02131023,-5.202624376,12.29071104,4.272936553,1.932500112,41.051,43,Jan,sa_f_jan
P69,SA,F,-9.310040058,1.640483263,-11.57169197,1.739190895,14.72979251,2.263804887,41.366,42,Jan,sa_f_jan
P70,SA,F,0,5.937,0,5.937,,0,40.922,45,Jan,sa_f_jan
P71,SA,F,3.799932046,-2.206691638,2.947683311,-6.949364492,9.013280138,4.818638159,40.242,42,Jan,sa_f_jan
P74,SA,F,-0.911158535,-6.46683266,-2.134993404,-4.515178118,0.395902532,2.303633486,42.578,43,Jan,sa_f_jan
P75,SA,F,3.844846449,-6.364268907,2.947683311,-6.949364492,3.644082877,1.071092218,36.95,41,Jan,sa_f_jan
P78,SA,F,2.210678954,-2.407089485,-2.134993404,-4.515178118,,4.830000614,42.365,42,Jan,sa_f_jan
P90,SA,F,-7.665857659,5.596412945,2.947683311,-6.949364492,,16.43300896,39.334,42,Jan,sa_f_jan
P95,SA,F,-9.66292338,2.182865826,-11.57169197,1.739190895,,1.9596543,38.892,39,Jan,sa_f_jan
P99,SA,F,3.378354579,-7.945429637,2.947683311,-6.949364492,,1.085183632,38.726,42,Jan,sa_f_jan
S00,SA,F,6.602395312,-5.548677243,2.947683311,-6.949364492,2.644250083,3.913929557,41.772,44,Jan,sa_f_jan
S12,SA,F,-12.30664905,13.69753295,-13.852894,15.74547013,2.442248876,2.566109923,39.37,42,Jan,sa_f_jan
S31,SA,F,12.05783047,-2.240716579,17.31727858,0.149249432,,5.777000256,38.076,39,Jan,sa_f_jan
S39,SA,F,7.765281187,-1.152110161,8.806825776,-1.803565442,2.992244394,1.228498724,42.665,43,Jan,sa_f_jan
V26,SA,F,-19.01956598,10.24310836,-19.65,12.1,,1.960993018,39.695,40,Jan,sa_f_jan
V55,SA,F,-18.63143443,88.99570999,-14.72535679,91.47969846,,4.629000027,36.773,40,Jan,sa_f_jan
V64,SA,F,-27.08269461,23.17667473,-24.443875,21.95,,2.90999997,37.599,38,Jan,sa_f_jan
V67,SA,F,-25.06000331,9.703118031,-23.35,8.85,,1.911000182,39.55,40,Jan,sa_f_jan
V88,SA,F,-1.957766758,-9.63811817,2.947683311,-6.949364492,,5.594000064,42.154,42,Jan,sa_f_jan
Z09,SA,F,-11.95951574,100.2221247,-13.34957347,98.78833651,,1.997000017,38.676,39,Jan,sa_f_jan
Z15,SA,F,-6.88503383,89.02180755,-13.34957347,98.78833651,,11.71218855,42.095,47,Jan,sa_f_jan
Z19,SA,F,-18.72891518,54.46754803,-18.08097057,52.23621845,,2.32350251,43.424,45,Jan,sa_f_jan
O02,SA,M,-22.13336764,73.85560158,-28.79521589,66.73296581,0.826432798,9.752546458,54.523,59,Jan,sa_m_jan
O05,SA,M,-11.13601183,106.4285143,-13.34957347,98.78833651,,7.954380667,53.006,53,Jan,sa_m_jan
O17,SA,M,-13.51386221,60.75586303,-13.49846697,59.45875658,5.396638335,1.297197809,52.694,55,Jan,sa_m_jan
O24,SA,M,-9.032465019,48.32525972,-9.49,45.38,3.339387555,2.980586029,48.149,51,Jan,sa_m_jan
O44,SA,M,-0.917615915,11.66023461,0,5.937,2.777400139,5.796329301,42.888,52,Jan,sa_m_jan
O50,SA,M,18.01293147,-0.342762406,19.46117121,6.450522262,,6.945942335,51.122,53,Jan,sa_m_jan
O52,SA,M,6.069987799,-9.863737028,9.170062723,-10.17769134,0.911433012,3.115931938,49.669,53,Jan,sa_m_jan
O75,SA,M,-10.73678596,-18.40331398,19.3113213,18.17218584,,47.33556736,51.305,52,Jan,sa_m_jan
P10,SA,M,-2.734945376,-5.547545809,-6.461837186,-0.908338766,6.387064348,5.950795287,54.047,53,Jan,sa_m_jan
P12,SA,M,7.207183758,-1.585702195,8.806825776,-1.803565442,8.994376757,1.614409793,52.999,57,Jan,sa_m_jan
P13,SA,M,7.776247678,-4.496186299,9.170062723,-10.17769134,9.015542073,5.849976061,53.872,58,Jan,sa_m_jan
P22,SA,M,-2.235589625,9.289683592,-4.537459658,6.722801933,6.717756876,3.447823531,49.665,55,Jan,sa_m_jan
P27,SA,M,7.936094318,4.649099224,0,5.937,3.282449853,8.039917999,56.908,58,Jan,sa_m_jan
P44,SA,M,-18.03516625,31.76071288,-27.34102926,33.51043274,15.94460951,9.468928448,48.548,54,Jan,sa_m_jan
P65,SA,M,-5.058114156,14.55221828,1.383975335,12.71106884,0.842383607,6.70002599,55.187,57,Jan,sa_m_jan
P77,SA,M,2.990573046,-3.747291943,2.947683311,-6.949364492,3.303739468,3.202359777,56.706,59,Jan,sa_m_jan
S21,SA,M,-28.54462664,22.64258169,-33.3698919,18.33238751,19.18980473,6.470004536,45.633,50,Jan,sa_m_jan
V11,SA,M,2.060212708,18.55910096,-14.75,35.3,,23.72426926,50.218,54,Jan,sa_m_jan
V65,SA,M,-25.98017396,18.44817739,-11.57169197,1.739190895,,22.06342183,49.448,53,Jan,sa_m_jan
V73,SA,M,-23.35,8.85,-19.65,12.1,,4.924682731,57.001,57,Jan,sa_m_jan
V78,SA,M,-11.08747059,-0.760352615,-4.814247439,34.6795375,,35.99082022,50.985,54,Jan,sa_m_jan
V93,SA,M,17.93946719,10.8148438,19.46117121,6.450522262,,4.622000174,54.902,56,Jan,sa_m_jan
V99,SA,M,7.933185082,-23.55270048,3.663217221,-22.80463654,,4.335000022,44.871,48,Jan,sa_m_jan
Z06,SA,M,-24.58389613,103.4137243,-24.50607488,107.045836,,3.632945299,49.332,52,Jan,sa_m_jan
T69,SM,F,-14.36947156,-5.598199804,-16.73437209,0.362825016,,6.413000189,,48,Jan,sm_f_jan
T72,SM,F,-4.537459658,6.722801933,-4.537459658,6.722801933,,0,,48,Jan,sm_f_jan
X22,SM,F,9.974458644,-7.590903343,9.170062723,-10.17769134,,2.708971196,,46,Jan,sm_f_jan
X51,SM,F,12.33415597,40.053247,13.48448549,42.81329927,,2.990175001,,49,Jan,sm_f_jan
X52,SM,F,13.68732888,38.04661413,13.48448549,42.81329927,,4.770999126,,48,Jan,sm_f_jan
T62,SM,M,-9.353703033,-14.58618019,-5.560936388,-10.36013659,,5.678426132,,57,Jan,sm_m_jan
T71,SM,M,-17.60271656,0.923003052,-14.67197119,-9.156364007,,10.49680469,,56,Jan,sm_m_jan
T97,SM,M,-27.21389718,35.08831946,-27.5,13.75,,21.3402374,,53,Jan,sm_m_jan
