Tag,Spec,Sex,D,Month,Group
O22,SA,F,2.27999998,Jan,sa_f_jan
O26,SA,F,1.632000106,Jan,sa_f_jan
O27,SA,F,13.89967138,Jan,sa_f_jan
O56,SA,F,1.353003167,Jan,sa_f_jan
O62,SA,F,1.364007073,Jan,sa_f_jan
O68,SA,F,3.725566907,Jan,sa_f_jan
O70,SA,F,4.769999908,Jan,sa_f_jan
O76,SA,F,3.6520001,Jan,sa_f_jan
O78,SA,F,1.452142859,Jan,sa_f_jan
O80,SA,F,3.850000019,Jan,sa_f_jan
O99,SA,F,7.223897451,Jan,sa_f_jan
P09,SA,F,2.644580497,Jan,sa_f_jan
P48,SA,F,6.460702801,Jan,sa_f_jan
P49,SA,F,1.82069652,Jan,sa_f_jan
P70,SA,F,0,Jan,sa_f_jan
P78,SA,F,4.830000614,Jan,sa_f_jan
P90,SA,F,16.43300896,Jan,sa_f_jan
P95,SA,F,1.9596543,Jan,sa_f_jan
P99,SA,F,1.085183632,Jan,sa_f_jan
S31,SA,F,5.777000256,Jan,sa_f_jan
V26,SA,F,1.960993018,Jan,sa_f_jan
V55,SA,F,4.629000027,Jan,sa_f_jan
V64,SA,F,2.90999997,Jan,sa_f_jan
V67,SA,F,1.911000182,Jan,sa_f_jan
V88,SA,F,5.594000064,Jan,sa_f_jan
Z09,SA,F,1.997000017,Jan,sa_f_jan
Z15,SA,F,11.71218855,Jan,sa_f_jan
Z19,SA,F,2.32350251,Jan,sa_f_jan
O05,SA,M,7.954380667,Jan,sa_m_jan
O50,SA,M,6.945942335,Jan,sa_m_jan
O75,SA,M,47.33556736,Jan,sa_m_jan
V11,SA,M,23.72426926,Jan,sa_m_jan
V65,SA,M,22.06342183,Jan,sa_m_jan
V73,SA,M,4.924682731,Jan,sa_m_jan
V78,SA,M,35.99082022,Jan,sa_m_jan
V93,SA,M,4.622000174,Jan,sa_m_jan
V99,SA,M,4.335000022,Jan,sa_m_jan
Z06,SA,M,3.632945299,Jan,sa_m_jan
T69,SM,F,6.413000189,Jan,sm_f_jan
T72,SM,F,0,Jan,sm_f_jan
X22,SM,F,2.708971196,Jan,sm_f_jan
X51,SM,F,2.990175001,Jan,sm_f_jan
X52,SM,F,4.770999126,Jan,sm_f_jan
T62,SM,M,5.678426132,Jan,sm_m_jan
T71,SM,M,10.49680469,Jan,sm_m_jan
T97,SM,M,21.3402374,Jan,sm_m_jan
